Year,Make,Model,Mileage,Pricing,City,State
2019,Ford,Ranger XL,1,"35,837",Layton,UT
2019,Ford,Ranger XL,7,34002,Spanish Fork,UT
2019,Ford,Ranger XL,26,38182,Layton,UT
2019,Ford,Ranger XL,1,38824,Layton,UT
2019,Ford,Ranger XL,8,34002,Spanish Fork,UT
1995,Ford,Ranger XL,214853,1800,North Salt Lake,UT
2019,Ford,Ranger XL,29,38703,Layton,UT
2019,Ford,Ranger XL,20,31989,Morgan,UT
2000,Ford,Ranger XL,105017,5995,Sandy,UT
2019,Ford,Ranger XL,7,33414,Draper,UT
2019,Ford,Ranger XL,39,31789,Morgan,UT
2019,Ford,Ranger XL,7,33414,Draper,UT
2008,Ford,Ranger XL,66255,7495,Roy,UT
2020,Ford,Ranger XL,27,38781,Price,UT
2020,Ford,Ranger XL,3,32788,Bountiful,UT
2019,Ford,Ranger XL,27,28808,American Fork,UT
2008,Ford,Ranger XL,104000,5000,St. George,UT
2019,Ford,Ranger XL,535,29326,American Fork,UT
2002,Ford,Ranger XL,151508,3788,Taylorsville,UT
1994,Ford,Ranger XL,168000,2500,Roy,UT
2007,Ford,Ranger XL,139980,4889,Lindon,UT
2009,Ford,Ranger XL,109316,8500,Logan,UT
1994,Ford,Ranger XL,142119,4400,Logan,UT
1999,Ford,Ranger XL,189000,1000,West Jordan,UT
2010,Ford,Ranger XL,161734,4700,Provo,UT
2011,Ford,Ranger XL,148943,4999,Draper,UT
1999,Ford,Ranger XL,294177,3000,Eagle Mountain,UT
2000,Ford,Ranger XL,125043,5995,Sandy,UT
2011,Ford,Ranger XL,102838,9375,Pleasant Grove,UT
1999,Ford,Ranger XL,206000,3000,Santaquin,UT
2009,Ford,Ranger XL,134000,6000,Salt Lake City,UT
1994,Ford,Ranger XL,167000,2000,Enoch,UT
1995,Ford,Ranger XL,149386,3000,Orem,UT
2010,Ford,Ranger XL,190000,2900,Smithfield,UT
2011,Ford,Ranger XL,36987,12299,,
2011,Ford,Ranger XL,148789,5880,,
2011,Ford,Ranger XL,111660,6991,,
2010,Ford,Ranger XL,162237,5500,,
2010,Ford,Ranger XL,127879,6250,,
1999,Ford,Ranger XL,75300,3875,,
2010,Ford,Ranger XL,140000,5995,,
2011,Ford,Ranger XL,23634,11995,,
2009,Ford,Ranger XL,102187,6499,,
2011,Ford,Ranger XL,116851,6611,,
2011,Ford,Ranger XL,134244,7759,,
2009,Ford,Ranger XL,76290,7977,,
2003,Ford,Ranger XL,138000,3500,,
2009,Ford,Ranger XL,57516,8495,,
2009,Ford,Ranger XL,90058,7488,,
2004,Ford,Ranger XL,139276,3995,,
2011,Ford,Ranger XL,127618,7995,,
2006,Ford,Ranger XL,142881,4567,,
1998,Ford,Ranger XL,140394,2995,,
2011,Ford,Ranger XL,101724,9399,,
2009,Ford,Ranger XL,126919,6900,,
2008,Ford,Ranger XL,36831,10450,,
2001,Ford,Ranger XL,78260,4000,,
2011,Ford,Ranger XL,87700,7995,,
2011,Ford,Ranger XL,139544,6991,,
2010,Ford,Ranger XL,133160,6995,,
2010,Ford,Ranger XL,65610,10980,,
2010,Ford,Ranger XL,138381,7150,,
2001,Ford,Ranger XL,122100,4288,,
2008,Ford,Ranger XL,109895,6785,,
2009,Ford,Ranger XL,22384,12998,,
2011,Ford,Ranger XL,36987,12299,,
2000,Ford,Ranger XL,86315,3999,,
2011,Ford,Ranger XL,76672,11295,,
2002,Ford,Ranger XL,214435,3500,,
2006,Ford,Ranger XL,139878,4936,,
2011,Ford,Ranger XL,45107,11995,,
2002,Ford,Ranger XL,127587,3999,,
2011,Ford,Ranger XL,60480,10980,,
1999,Ford,Ranger XL,104000,3950,,
2000,Ford,Ranger XL,207667,3990,,
2003,Ford,Ranger XL,311845,1995,,
1999,Ford,Ranger XL,200560,4995,,
2000,Ford,Ranger XL,203900,5900,,
2011,Ford,Ranger XL,60671,12589,,
2010,Ford,Ranger XL,63180,12995,,
2011,Ford,Ranger XLT,37071,16995,,
2011,Ford,Ranger XLT,46000,16500,,
2019,Ford,Ranger XLT,21000,25998,,
2019,Ford,Ranger XLT,5000,26998,,
2019,Ford,Ranger XL,3000,25998,,
2019,Ford,Ranger XL,9833,24500,,
2019,Ford,Ranger XL,17657,24255,,
2019,Ford,Ranger XL,12470,25838,,
2019,Ford,Ranger XL,1325,23488,,
2019,Ford,Ranger XL,32053,24950,,
2019,Ford,Ranger XL,40027,18253,,
2019,Ford,Ranger XL,3106,22900,,
2019,Ford,Ranger XL,6007,23800,,
2019,Ford,Ranger XLT,15112,24999,,
2011,Ford,Ranger XLT,34287,18697,,
2009,Ford,Ranger XLT,39034,18993,,
2009,Ford,Ranger XL,238510,3995,,
2008,Ford,Ranger XL,215486,3995,,
2003,Ford,Ranger XL,229842,2995,,
2005,Ford,Ranger XL,187488,4500,,
2006,Ford,Ranger XL,238873,4000,,
2008,Ford,Ranger XL,180034,4999,,
2010,Ford,Ranger XL,192207,3500,,
2000,Ford,Ranger XL,238329,2350,,
2003,Ford,Ranger XL,311845,1995,,
2000,Ford,Ranger XL,230471,1990,,
2010,Ford,Ranger XL,205192,5999,,
1999,Ford,Ranger XL,192877,3989,,
2010,Ford,Ranger XL,271130,7500,,
2004,Ford,Ranger XL,274360,4476,,
2019,Ford,Ranger XL,40027,18253,,
